case_id,product_component,original_cve_id,incomplete_fix_cve_id,subtype,parent_group,subtype_definition
CASE-01,"editorconfig-core-c (libeditorconfig) — EditorConfig C parser used by Vim, Emacs, Gedit, gnome-text-editor, VS Code plugin, etc.",CVE-2023-0341,CVE-2026-40489,Symmetric/dual-operation miss,Dual-Operation Symmetry,"Two mirror-image operations exist (open/close, alloc/fill, read/write, create/finalize, '('/')'); the fix hardens one side and leaves its structural mirror untouched."
CASE-02,"Dovecot IMAP/POP3 server — imap-login process, IMAP command parser",CVE-2026-27857,CVE-2026-42006,Symmetric/dual-operation miss,Dual-Operation Symmetry,"Two mirror-image operations exist (open/close, alloc/fill, read/write, create/finalize, '('/')'); the fix hardens one side and leaves its structural mirror untouched."
CASE-03,"libexpat — streaming XML parser embedded in Python, Firefox, many Linux system tools",CVE-2026-50219,CVE-2026-56412,Scope-of-audit miss,Structural Duplication,"The original fix was produced by an audit (manual, grep-based, or reproducer-driven) that covered the exact reported call site / branch / function but never widened to structurally similar sibling call sites, branches, or functions."
CASE-03B,"libexpat — streaming XML parser embedded in Python, Firefox, many Linux system tools (SIBLING incomplete-fix lineage to CASE-03, same original commit/CVE)",CVE-2026-50219,CVE-2026-56131,Security logic implemented but not applied,Structural Duplication,"A reusable protective primitive (helper function, macro, wrapper) was correctly written and correctly used at most call sites, but was never wired into one additional site that needed it."
CASE-04,"libsndfile — cross-platform C audio file library (embedded in Linux distros, Python soundfile/pysndfile, GStreamer, Audacity, etc.)",CVE-2022-33065,CVE-2026-37555,Parallel implementation miss,Structural Duplication,"The same logic is duplicated across multiple files, code trees, binaries, or lookup-path implementations (e.g. SDL2 vs SDL3, generic vs SIMD, Web vs Component server); the fix is applied to only a subset of the duplicates."
CASE-05,X.Org X Server (xserver) and Xwayland — XKB (X Keyboard Extension),CVE-2025-26597,CVE-2026-50258,Upstream/downstream caller miss,Call-Chain / Scope,"The exploitable defect actually lives in a different function of the call chain (an upstream validator/caller, a downstream consumer, or the producer/reader counterpart of a build/read pair) than the function that was patched."
CASE-06,"Canonical Multipass (macOS) — VM management tool, root LaunchDaemon",CVE-2025-5199,CVE-2026-49237,Parallel implementation miss,Structural Duplication,"The same logic is duplicated across multiple files, code trees, binaries, or lookup-path implementations (e.g. SDL2 vs SDL3, generic vs SIMD, Web vs Component server); the fix is applied to only a subset of the duplicates."
CASE-07,"GStreamer gst-plugins-good — WAV demuxer (used by GNOME Videos/Totem, PipeWire, Firefox-on-Linux media backend, embedded/IoT Linux, streaming servers)",CVE-2024-47778 (GHSL-2024-258),CVE-2026-1940,Wrong invariant / off-by-construction,Logic / Invariant Error,"A guard/bound/algorithm was added and IS reached, but its condition, threshold, sentinel value, or design does not actually match the real overflow/bypass condition (miscalibration or algorithmic edge case, not a coverage gap)."
CASE-08,389 Directory Server (389-ds-base) — LDAP directory server underlying Red Hat Directory Server and FreeIPA,CVE-2025-14905,CVE-2026-11884,Field/parameter-family miss,Structural Duplication,The fix enumerates a family of fields/parameters/members/option-spellings/reference-holder-classes to protect but omits one member of that family.
CASE-09,QEMU — open source machine emulator/virtualizer; virtio-snd device,CVE-2024-7730,CVE-2026-3195,Symmetric/dual-operation miss,Dual-Operation Symmetry,"Two mirror-image operations exist (open/close, alloc/fill, read/write, create/finalize, '('/')'); the fix hardens one side and leaves its structural mirror untouched."
